Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
4.795749, 2020-2039, bcc_csm1_1, Jan Average, Croatia, HRV
5.341241, 2020-2039, bcc_csm1_1, Feb Average, Croatia, HRV
6.9521346, 2020-2039, bcc_csm1_1, Mar Average, Croatia, HRV
9.511127, 2020-2039, bcc_csm1_1, Apr Average, Croatia, HRV
14.321731, 2020-2039, bcc_csm1_1, May Average, Croatia, HRV
20.161154, 2020-2039, bcc_csm1_1, Jun Average, Croatia, HRV
23.10815, 2020-2039, bcc_csm1_1, Jul Average, Croatia, HRV
23.378101, 2020-2039, bcc_csm1_1, Aug Average, Croatia, HRV
19.04367, 2020-2039, bcc_csm1_1, Sep Average, Croatia, HRV
13.577697, 2020-2039, bcc_csm1_1, Oct Average, Croatia, HRV
8.514285, 2020-2039, bcc_csm1_1, Nov Average, Croatia, HRV
6.4086385, 2020-2039, bcc_csm1_1, Dec Average, Croatia, HRV
6.6231527, 2020-2039, bcc_csm1_1_m, Jan Average, Croatia, HRV
6.8918757, 2020-2039, bcc_csm1_1_m, Feb Average, Croatia, HRV
8.169862, 2020-2039, bcc_csm1_1_m, Mar Average, Croatia, HRV
11.8276205, 2020-2039, bcc_csm1_1_m, Apr Average, Croatia, HRV
16.08495, 2020-2039, bcc_csm1_1_m, May Average, Croatia, HRV
20.976612, 2020-2039, bcc_csm1_1_m, Jun Average, Croatia, HRV
25.35839, 2020-2039, bcc_csm1_1_m, Jul Average, Croatia, HRV
24.671215, 2020-2039, bcc_csm1_1_m, Aug Average, Croatia, HRV
19.587511, 2020-2039, bcc_csm1_1_m, Sep Average, Croatia, HRV
14.040653, 2020-2039, bcc_csm1_1_m, Oct Average, Croatia, HRV
9.267735, 2020-2039, bcc_csm1_1_m, Nov Average, Croatia, HRV
7.620232, 2020-2039, bcc_csm1_1_m, Dec Average, Croatia, HRV
6.0370703, 2020-2039, ccsm4, Jan Average, Croatia, HRV
6.968733, 2020-2039, ccsm4, Feb Average, Croatia, HRV
9.307451, 2020-2039, ccsm4, Mar Average, Croatia, HRV
12.351618, 2020-2039, ccsm4, Apr Average, Croatia, HRV
16.494003, 2020-2039, ccsm4, May Average, Croatia, HRV
21.604939, 2020-2039, ccsm4, Jun Average, Croatia, HRV
25.104383, 2020-2039, ccsm4, Jul Average, Croatia, HRV
24.797018, 2020-2039, ccsm4, Aug Average, Croatia, HRV
20.12357, 2020-2039, ccsm4, Sep Average, Croatia, HRV
15.16532, 2020-2039, ccsm4, Oct Average, Croatia, HRV
10.232009, 2020-2039, ccsm4, Nov Average, Croatia, HRV
7.3591633, 2020-2039, ccsm4, Dec Average, Croatia, HRV
5.2573333, 2020-2039, cesm1_cam5, Jan Average, Croatia, HRV
5.913352, 2020-2039, cesm1_cam5, Feb Average, Croatia, HRV
9.240676, 2020-2039, cesm1_cam5, Mar Average, Croatia, HRV
12.602445, 2020-2039, cesm1_cam5, Apr Average, Croatia, HRV
16.626862, 2020-2039, cesm1_cam5, May Average, Croatia, HRV
21.065893, 2020-2039, cesm1_cam5, Jun Average, Croatia, HRV
24.129667, 2020-2039, cesm1_cam5, Jul Average, Croatia, HRV
24.448835, 2020-2039, cesm1_cam5, Aug Average, Croatia, HRV
19.589476, 2020-2039, cesm1_cam5, Sep Average, Croatia, HRV
13.458634, 2020-2039, cesm1_cam5, Oct Average, Croatia, HRV
10.564792, 2020-2039, cesm1_cam5, Nov Average, Croatia, HRV
6.172092, 2020-2039, cesm1_cam5, Dec Average, Croatia, HRV
5.191248, 2020-2039, csiro_mk3_6_0, Jan Average, Croatia, HRV
6.03903, 2020-2039, csiro_mk3_6_0, Feb Average, Croatia, HRV
8.304312, 2020-2039, csiro_mk3_6_0, Mar Average, Croatia, HRV
11.533899, 2020-2039, csiro_mk3_6_0, Apr Average, Croatia, HRV
16.277534, 2020-2039, csiro_mk3_6_0, May Average, Croatia, HRV
22.338234, 2020-2039, csiro_mk3_6_0, Jun Average, Croatia, HRV
25.757515, 2020-2039, csiro_mk3_6_0, Jul Average, Croatia, HRV
25.518541, 2020-2039, csiro_mk3_6_0, Aug Average, Croatia, HRV
20.567385, 2020-2039, csiro_mk3_6_0, Sep Average, Croatia, HRV
14.878599, 2020-2039, csiro_mk3_6_0, Oct Average, Croatia, HRV
10.375997, 2020-2039, csiro_mk3_6_0, Nov Average, Croatia, HRV
7.290895, 2020-2039, csiro_mk3_6_0, Dec Average, Croatia, HRV
6.7526727, 2020-2039, fio_esm, Jan Average, Croatia, HRV
6.4620295, 2020-2039, fio_esm, Feb Average, Croatia, HRV
7.727556, 2020-2039, fio_esm, Mar Average, Croatia, HRV
10.983688, 2020-2039, fio_esm, Apr Average, Croatia, HRV
14.58118, 2020-2039, fio_esm, May Average, Croatia, HRV
19.218153, 2020-2039, fio_esm, Jun Average, Croatia, HRV
20.925097, 2020-2039, fio_esm, Jul Average, Croatia, HRV
20.258272, 2020-2039, fio_esm, Aug Average, Croatia, HRV
17.097784, 2020-2039, fio_esm, Sep Average, Croatia, HRV
13.872059, 2020-2039, fio_esm, Oct Average, Croatia, HRV
9.890183, 2020-2039, fio_esm, Nov Average, Croatia, HRV
7.4168873, 2020-2039, fio_esm, Dec Average, Croatia, HRV
5.1606994, 2020-2039, gfdl_cm3, Jan Average, Croatia, HRV
5.520825, 2020-2039, gfdl_cm3, Feb Average, Croatia, HRV
8.290572, 2020-2039, gfdl_cm3, Mar Average, Croatia, HRV
12.033383, 2020-2039, gfdl_cm3, Apr Average, Croatia, HRV
16.268988, 2020-2039, gfdl_cm3, May Average, Croatia, HRV
20.737368, 2020-2039, gfdl_cm3, Jun Average, Croatia, HRV
24.353426, 2020-2039, gfdl_cm3, Jul Average, Croatia, HRV
25.274887, 2020-2039, gfdl_cm3, Aug Average, Croatia, HRV
20.92225, 2020-2039, gfdl_cm3, Sep Average, Croatia, HRV
15.507467, 2020-2039, gfdl_cm3, Oct Average, Croatia, HRV
9.853829, 2020-2039, gfdl_cm3, Nov Average, Croatia, HRV
6.702324, 2020-2039, gfdl_cm3, Dec Average, Croatia, HRV
5.150885, 2020-2039, gfdl_esm2m, Jan Average, Croatia, HRV
5.930083, 2020-2039, gfdl_esm2m, Feb Average, Croatia, HRV
7.6234307, 2020-2039, gfdl_esm2m, Mar Average, Croatia, HRV
11.031464, 2020-2039, gfdl_esm2m, Apr Average, Croatia, HRV
14.9255905, 2020-2039, gfdl_esm2m, May Average, Croatia, HRV
19.638885, 2020-2039, gfdl_esm2m, Jun Average, Croatia, HRV
21.977224, 2020-2039, gfdl_esm2m, Jul Average, Croatia, HRV
21.462078, 2020-2039, gfdl_esm2m, Aug Average, Croatia, HRV
16.96584, 2020-2039, gfdl_esm2m, Sep Average, Croatia, HRV
12.410477, 2020-2039, gfdl_esm2m, Oct Average, Croatia, HRV
8.97381, 2020-2039, gfdl_esm2m, Nov Average, Croatia, HRV
7.3375854, 2020-2039, gfdl_esm2m, Dec Average, Croatia, HRV
6.041439, 2020-2039, giss_e2_h, Jan Average, Croatia, HRV
7.883787, 2020-2039, giss_e2_h, Feb Average, Croatia, HRV
9.955447, 2020-2039, giss_e2_h, Mar Average, Croatia, HRV
13.405282, 2020-2039, giss_e2_h, Apr Average, Croatia, HRV
17.053545, 2020-2039, giss_e2_h, May Average, Croatia, HRV
20.589382, 2020-2039, giss_e2_h, Jun Average, Croatia, HRV
22.36239, 2020-2039, giss_e2_h, Jul Average, Croatia, HRV
21.722183, 2020-2039, giss_e2_h, Aug Average, Croatia, HRV
19.116997, 2020-2039, giss_e2_h, Sep Average, Croatia, HRV
14.57423, 2020-2039, giss_e2_h, Oct Average, Croatia, HRV
9.562125, 2020-2039, giss_e2_h, Nov Average, Croatia, HRV
7.829353, 2020-2039, giss_e2_h, Dec Average, Croatia, HRV
6.107248, 2020-2039, giss_e2_r, Jan Average, Croatia, HRV
6.2876134, 2020-2039, giss_e2_r, Feb Average, Croatia, HRV
8.822629, 2020-2039, giss_e2_r, Mar Average, Croatia, HRV
11.851878, 2020-2039, giss_e2_r, Apr Average, Croatia, HRV
16.638386, 2020-2039, giss_e2_r, May Average, Croatia, HRV
19.720987, 2020-2039, giss_e2_r, Jun Average, Croatia, HRV
21.870071, 2020-2039, giss_e2_r, Jul Average, Croatia, HRV
21.527336, 2020-2039, giss_e2_r, Aug Average, Croatia, HRV
19.212992, 2020-2039, giss_e2_r, Sep Average, Croatia, HRV
14.471711, 2020-2039, giss_e2_r, Oct Average, Croatia, HRV
10.360617, 2020-2039, giss_e2_r, Nov Average, Croatia, HRV
7.51687, 2020-2039, giss_e2_r, Dec Average, Croatia, HRV
5.2249975, 2020-2039, ipsl_cm5a_mr, Jan Average, Croatia, HRV
5.2987385, 2020-2039, ipsl_cm5a_mr, Feb Average, Croatia, HRV
7.7192235, 2020-2039, ipsl_cm5a_mr, Mar Average, Croatia, HRV
11.236703, 2020-2039, ipsl_cm5a_mr, Apr Average, Croatia, HRV
15.7994585, 2020-2039, ipsl_cm5a_mr, May Average, Croatia, HRV
20.809843, 2020-2039, ipsl_cm5a_mr, Jun Average, Croatia, HRV
24.443468, 2020-2039, ipsl_cm5a_mr, Jul Average, Croatia, HRV
24.345274, 2020-2039, ipsl_cm5a_mr, Aug Average, Croatia, HRV
20.562876, 2020-2039, ipsl_cm5a_mr, Sep Average, Croatia, HRV
14.9120865, 2020-2039, ipsl_cm5a_mr, Oct Average, Croatia, HRV
10.648322, 2020-2039, ipsl_cm5a_mr, Nov Average, Croatia, HRV
6.6562862, 2020-2039, ipsl_cm5a_mr, Dec Average, Croatia, HRV
8.374785, 2020-2039, miroc_esm, Jan Average, Croatia, HRV
8.269864, 2020-2039, miroc_esm, Feb Average, Croatia, HRV
9.813946, 2020-2039, miroc_esm, Mar Average, Croatia, HRV
12.875974, 2020-2039, miroc_esm, Apr Average, Croatia, HRV
17.399796, 2020-2039, miroc_esm, May Average, Croatia, HRV
21.88782, 2020-2039, miroc_esm, Jun Average, Croatia, HRV
24.299282, 2020-2039, miroc_esm, Jul Average, Croatia, HRV
23.897474, 2020-2039, miroc_esm, Aug Average, Croatia, HRV
20.225027, 2020-2039, miroc_esm, Sep Average, Croatia, HRV
16.417065, 2020-2039, miroc_esm, Oct Average, Croatia, HRV
12.96599, 2020-2039, miroc_esm, Nov Average, Croatia, HRV
10.163694, 2020-2039, miroc_esm, Dec Average, Croatia, HRV
8.239939, 2020-2039, miroc_esm_chem, Jan Average, Croatia, HRV
8.097788, 2020-2039, miroc_esm_chem, Feb Average, Croatia, HRV
9.405541, 2020-2039, miroc_esm_chem, Mar Average, Croatia, HRV
12.44551, 2020-2039, miroc_esm_chem, Apr Average, Croatia, HRV
16.976276, 2020-2039, miroc_esm_chem, May Average, Croatia, HRV
21.785604, 2020-2039, miroc_esm_chem, Jun Average, Croatia, HRV
24.162498, 2020-2039, miroc_esm_chem, Jul Average, Croatia, HRV
23.30365, 2020-2039, miroc_esm_chem, Aug Average, Croatia, HRV
20.016764, 2020-2039, miroc_esm_chem, Sep Average, Croatia, HRV
16.019493, 2020-2039, miroc_esm_chem, Oct Average, Croatia, HRV
12.73581, 2020-2039, miroc_esm_chem, Nov Average, Croatia, HRV
9.792634, 2020-2039, miroc_esm_chem, Dec Average, Croatia, HRV
3.5059094, 2020-2039, miroc5, Jan Average, Croatia, HRV
4.9120016, 2020-2039, miroc5, Feb Average, Croatia, HRV
9.495146, 2020-2039, miroc5, Mar Average, Croatia, HRV
14.530221, 2020-2039, miroc5, Apr Average, Croatia, HRV
20.169037, 2020-2039, miroc5, May Average, Croatia, HRV
24.627348, 2020-2039, miroc5, Jun Average, Croatia, HRV
27.609007, 2020-2039, miroc5, Jul Average, Croatia, HRV
26.071577, 2020-2039, miroc5, Aug Average, Croatia, HRV
20.72862, 2020-2039, miroc5, Sep Average, Croatia, HRV
15.178076, 2020-2039, miroc5, Oct Average, Croatia, HRV
8.827475, 2020-2039, miroc5, Nov Average, Croatia, HRV
4.451035, 2020-2039, miroc5, Dec Average, Croatia, HRV
4.3931165, 2020-2039, mri_cgcm3, Jan Average, Croatia, HRV
6.137131, 2020-2039, mri_cgcm3, Feb Average, Croatia, HRV
7.274926, 2020-2039, mri_cgcm3, Mar Average, Croatia, HRV
11.076446, 2020-2039, mri_cgcm3, Apr Average, Croatia, HRV
15.061647, 2020-2039, mri_cgcm3, May Average, Croatia, HRV
19.63704, 2020-2039, mri_cgcm3, Jun Average, Croatia, HRV
22.288242, 2020-2039, mri_cgcm3, Jul Average, Croatia, HRV
21.475468, 2020-2039, mri_cgcm3, Aug Average, Croatia, HRV
17.280699, 2020-2039, mri_cgcm3, Sep Average, Croatia, HRV
12.354443, 2020-2039, mri_cgcm3, Oct Average, Croatia, HRV
8.72229, 2020-2039, mri_cgcm3, Nov Average, Croatia, HRV
5.7493415, 2020-2039, mri_cgcm3, Dec Average, Croatia, HRV
7.138034, 2020-2039, noresm1_m, Jan Average, Croatia, HRV
7.4269876, 2020-2039, noresm1_m, Feb Average, Croatia, HRV
9.15293, 2020-2039, noresm1_m, Mar Average, Croatia, HRV
12.093699, 2020-2039, noresm1_m, Apr Average, Croatia, HRV
16.189018, 2020-2039, noresm1_m, May Average, Croatia, HRV
20.863108, 2020-2039, noresm1_m, Jun Average, Croatia, HRV
23.64776, 2020-2039, noresm1_m, Jul Average, Croatia, HRV
23.506756, 2020-2039, noresm1_m, Aug Average, Croatia, HRV
18.919378, 2020-2039, noresm1_m, Sep Average, Croatia, HRV
12.73925, 2020-2039, noresm1_m, Oct Average, Croatia, HRV
9.710319, 2020-2039, noresm1_m, Nov Average, Croatia, HRV
7.773783, 2020-2039, noresm1_m, Dec Average, Croatia, HRV
0.019660175, 2020-2039, Ensemble (10th Percentile), Jan Average, Croatia, HRV
0.15744255, 2020-2039, Ensemble (10th Percentile), Feb Average, Croatia, HRV
0.2853577, 2020-2039, Ensemble (10th Percentile), Mar Average, Croatia, HRV
0.2203177, 2020-2039, Ensemble (10th Percentile), Apr Average, Croatia, HRV
0.13953938, 2020-2039, Ensemble (10th Percentile), May Average, Croatia, HRV
0.7242801, 2020-2039, Ensemble (10th Percentile), Jun Average, Croatia, HRV
0.62439865, 2020-2039, Ensemble (10th Percentile), Jul Average, Croatia, HRV
0.6728288, 2020-2039, Ensemble (10th Percentile), Aug Average, Croatia, HRV
0.9309886, 2020-2039, Ensemble (10th Percentile), Sep Average, Croatia, HRV
0.15401267, 2020-2039, Ensemble (10th Percentile), Oct Average, Croatia, HRV
-0.016829396, 2020-2039, Ensemble (10th Percentile), Nov Average, Croatia, HRV
0.034921553, 2020-2039, Ensemble (10th Percentile), Dec Average, Croatia, HRV
1.2313523, 2020-2039, Ensemble (50th Percentile), Jan Average, Croatia, HRV
1.1253653, 2020-2039, Ensemble (50th Percentile), Feb Average, Croatia, HRV
1.1044494, 2020-2039, Ensemble (50th Percentile), Mar Average, Croatia, HRV
1.1601268, 2020-2039, Ensemble (50th Percentile), Apr Average, Croatia, HRV
1.159342, 2020-2039, Ensemble (50th Percentile), May Average, Croatia, HRV
1.3618855, 2020-2039, Ensemble (50th Percentile), Jun Average, Croatia, HRV
1.7045889, 2020-2039, Ensemble (50th Percentile), Jul Average, Croatia, HRV
1.910388, 2020-2039, Ensemble (50th Percentile), Aug Average, Croatia, HRV
1.7657022, 2020-2039, Ensemble (50th Percentile), Sep Average, Croatia, HRV
1.4514705, 2020-2039, Ensemble (50th Percentile), Oct Average, Croatia, HRV
1.2657399, 2020-2039, Ensemble (50th Percentile), Nov Average, Croatia, HRV
1.1347278, 2020-2039, Ensemble (50th Percentile), Dec Average, Croatia, HRV
2.6924906, 2020-2039, Ensemble (90th Percentile), Jan Average, Croatia, HRV
2.271862, 2020-2039, Ensemble (90th Percentile), Feb Average, Croatia, HRV
1.9970207, 2020-2039, Ensemble (90th Percentile), Mar Average, Croatia, HRV
1.8271272, 2020-2039, Ensemble (90th Percentile), Apr Average, Croatia, HRV
2.37673, 2020-2039, Ensemble (90th Percentile), May Average, Croatia, HRV
2.3046436, 2020-2039, Ensemble (90th Percentile), Jun Average, Croatia, HRV
2.6239939, 2020-2039, Ensemble (90th Percentile), Jul Average, Croatia, HRV
3.0720456, 2020-2039, Ensemble (90th Percentile), Aug Average, Croatia, HRV
2.3220015, 2020-2039, Ensemble (90th Percentile), Sep Average, Croatia, HRV
2.2842975, 2020-2039, Ensemble (90th Percentile), Oct Average, Croatia, HRV
2.158399, 2020-2039, Ensemble (90th Percentile), Nov Average, Croatia, HRV
2.4655588, 2020-2039, Ensemble (90th Percentile), Dec Average, Croatia, HRV
